# ts free_mb inact_mb wired_mb comp_mb swap_mb srv_rss_mb avail_mb
14:08:54 4910 3028 1268 148 259 0 7938
14:08:55 4803 3035 1272 148 259 97 7838
14:08:56 3296 3487 1273 148 259 1627 6783
14:08:57 1277 5244 1274 148 259 3609 6521
14:08:58 57 7165 1275 148 259 5560 7222
14:08:59 60 8563 1272 187 259 7473 8623
14:09:00 65 7532 1383 342 259 9182 7597
14:09:01 66 8043 1452 342 259 9253 8109
14:09:02 59 5130 4735 378 259 9135 5189
14:09:03 57 8470 1299 434 259 0 8527
