ticker,date,kronos_disp,kronos_pathvol,kronos_dir,rv20,rv60,ewma,garch,realized_vol,fwd_ret,anchor
SPY,2024-08-01,0.03786784908267832,0.039762827844172406,-0.05310124497073649,0.02104202656238955,0.014904719572482938,0.019626215092267644,0.0187990010813545,0.03948911208537293,-0.0601414069289911,550.8099975585938
SPY,2024-08-08,0.01657253200957508,0.026357988492908616,-0.007270800721104363,0.02703766101054415,0.018711498803477354,0.02621747362771859,0.026554741830874095,0.028599792352178036,0.04724107166427306,518.6599731445312
SPY,2024-08-15,0.024400833061248288,0.03277041590179429,-0.03369254533286339,0.030448959292997575,0.0200826283425694,0.0266419070214122,0.025758426041204784,0.019970413688611948,0.030553723043116196,543.75
SPY,2024-08-22,0.02607085429653914,0.03869192949290896,-0.04981459152417192,0.02879905642795528,0.020589381629679212,0.024865071713679656,0.02332369987945331,0.014672183927349742,-0.004146874994340306,560.6199951171875
SPY,2024-08-29,0.02785435725426328,0.03475306344465733,-0.03267412632087902,0.028014597724794497,0.020671957020348446,0.022546630685605692,0.02133336226036118,0.023081993836523842,-0.015687521310533938,558.2999877929688
SPY,2024-09-06,0.017340780851916735,0.029393974760464122,-0.03589472322024552,0.021745214700446727,0.021520614958284275,0.022652974410512526,0.021385760402983785,0.02460662004492201,0.017101600877723926,549.6099853515625
SPY,2024-09-13,0.03057160315252094,0.035802424041382945,-0.04457935743127525,0.021235858408573446,0.022424514468049585,0.023033572668058742,0.02176845056397845,0.01801676581772547,0.02104363854747403,559.0900268554688
SPY,2024-09-20,0.027073199892805325,0.04317515917984141,-0.055737998412133824,0.020909432978571185,0.022865697779443625,0.022016415667437852,0.020508165542490096,0.007608796417255245,0.0023091595189459533,570.97998046875
SPY,2024-09-27,0.02775359417831807,0.039720815777374206,-0.053225759123620923,0.019802258719973875,0.022860059660872917,0.01925569349385692,0.018222466371328686,0.010129473752046692,-0.007858828097602298,572.2999877929688
SPY,2024-10-04,0.022508090426081387,0.03162338279438901,-0.02553244043712626,0.016523237703928266,0.02281747362476629,0.017298599014817277,0.016822390763703402,0.01742498551513716,0.01452885816269092,567.8200073242188
SPY,2024-10-11,0.024520908662609822,0.026485200884380448,-0.02472316505482136,0.013989333170363409,0.02268766214737016,0.017242040711990217,0.01682474601164562,0.013477562347369547,0.010738261474942357,576.1300048828125
SPY,2024-10-18,0.03394669949258119,0.030680447914586798,-0.021644299733619764,0.01283842848463626,0.021487401135895604,0.016267499908428004,0.016098695586835195,0.010327201192902136,-0.005354717024284985,582.3499755859375
SPY,2024-10-25,0.034317191244160015,0.03236986871114351,-0.03859435818293645,0.013448417017702583,0.020920570249660396,0.014955633130146124,0.015400354689154233,0.020332091828818163,-0.018469311874262644,579.239990234375
SPY,2024-11-01,0.027626618402363797,0.03158116923748597,-0.031684775397531596,0.01626439220230958,0.018225663257312563,0.016957988602404033,0.0175244774103279,0.028800020793735358,0.046338495139941635,568.6400146484375
SPY,2024-11-08,0.031034819492520144,0.03847923601850707,-0.05151251616221717,0.019707357243132884,0.01825875695311231,0.021042151384001066,0.021216637215592388,0.008433269180135882,-0.00380166290169793,595.6099853515625
SPY,2024-11-15,0.030681250146047556,0.043410909770670886,-0.055487473739848046,0.019215521542402872,0.01768572851011018,0.01857047424586724,0.018374861641313987,0.014999976694798392,0.0005391776771416026,593.3499755859375
SPY,2024-11-22,0.0435333161807941,0.049822031960512145,-0.07545323098504357,0.019925387180678888,0.017686919882991103,0.017565557562544794,0.01736367951919218,0.00978400618549656,0.014847048572301041,593.6699829101562
SPY,2024-12-02,0.039707720408231006,0.046451505918908405,-0.0508309243632083,0.016650693595780516,0.016406508312188164,0.015905163447791658,0.01596787234255496,0.006931208571224473,0.00869169989669185,602.5499877929688
SPY,2024-12-09,0.037149637914425125,0.06186904849012694,-0.0800921037451526,0.010504778569861107,0.014967207763790503,0.014087298936107776,0.01468595942613274,0.011062687511604632,-0.00594047311861741,607.8099975585938
SPY,2024-12-16,0.03522846060895924,0.04740606400736789,-0.0613572158929005,0.011176837244513281,0.014567784646663062,0.013314608821907976,0.014834750742607322,0.032005709891601695,-0.02185202238413378,604.2100219726562
SPY,2024-12-23,0.023624004198085625,0.044045535822610726,-0.053798979876546915,0.018422042230273133,0.017238360154008984,0.02008484543365551,0.020520743214290645,0.020038644366686495,-0.0049688558324128005,591.1500244140625
SPY,2024-12-31,0.026357744575810672,0.0344779530369343,-0.035855896122540726,0.02030925401554838,0.017950450986574093,0.02012978933548279,0.01978392461911535,0.018329575026567676,0.0006968334193580202,588.219970703125
SPY,2025-01-08,0.030181497160210697,0.03562127407334682,-0.047205808090047915,0.021962063247283822,0.01805736872220333,0.019766926881049095,0.019031264798461334,0.02383446634417684,0.0070255734486089,588.6300048828125
SPY,2025-01-16,0.021294539402540797,0.02705133722847914,-0.0272149850205422,0.024664753564409284,0.018947905382533763,0.021092404521358427,0.019769690889013567,0.015734733035192933,0.028225652452085647,592.780029296875
SPY,2025-01-24,0.03399237903802026,0.04562806759786558,-0.0638527220719416,0.0199023844503298,0.01917523812106788,0.019800630382886868,0.01806768419631236,0.018263239517947265,-0.007754501864295218,609.75
SPY,2025-01-31,0.02238336638771037,0.0288852764737925,-0.03370088154825661,0.01950329940942801,0.018952759805663768,0.019335801072665304,0.01787368538302849,0.01213177292965395,0.0021133763518299434,605.0399780273438
SPY,2025-02-07,0.025147131360765275,0.03311010021436096,-0.03180385862015595,0.018155407628938105,0.01750363805732378,0.01767221116834251,0.016835930372071123,0.015863674805853732,0.005608292613898025,606.3200073242188
SPY,2025-02-14,0.030214182565236624,0.026054671676213073,-0.027818510535495274,0.01572980811291268,0.01791865551598792,0.017220974021344267,0.01689624537841352,0.0181423065382312,-0.016186549912232,609.72998046875
SPY,2025-02-24,0.01998769148742538,0.034817979199808696,-0.03255679286058547,0.016609856601629638,0.018187784172955572,0.01776530561037127,0.01804380693955792,0.023336805887065486,-0.009647362850563364,599.9400024414062
SPY,2025-03-03,0.018695472964843696,0.027640875353057887,-0.021537858417347837,0.018181708705614173,0.019201970570306395,0.019694240023453605,0.019167069964413044,0.030340015589006498,-0.03121355894760898,594.1799926757812
SPY,2025-03-10,0.021385133091973468,0.02435567601824286,0.003769274993019021,0.022440699999159403,0.020948225943792514,0.022877372854109092,0.020773207840358188,0.037744271422141366,-0.023026643441215112,575.9199829101562
SPY,2025-03-17,0.021148657182564416,0.027403873423923412,0.0157643168852262,0.02761722941819498,0.023370376824594558,0.02749587927757597,0.02401142815586688,0.0176061043931451,0.0020766661994478996,562.8099975585938
SPY,2025-03-24,0.01945477327460359,0.02888667494396906,-0.0038792314087882436,0.028138279929269094,0.02212740603486061,0.02517738452227032,0.01986835102822194,0.029766011616976586,-0.014862207165816769,563.97998046875
SPY,2025-03-31,0.018510706653797393,0.032889128470489984,0.032493621330351954,0.029542629399590722,0.02300490220227575,0.026549535419419956,0.022381956875295518,0.07928272689572968,-0.095043819428091,555.6599731445312
SPY,2025-04-07,0.02697983501993835,0.033207640788027494,0.01098377968760197,0.04602689854771804,0.03170325540196433,0.04850397354187976,0.0548296688335614,0.11200677257819616,0.05517074901787856,505.2799987792969
SPY,2025-04-14,0.027985228206809994,0.032484868901893775,-0.008502010262587264,0.07234531916492673,0.04514006004403646,0.07137684803994924,0.08353294405634011,0.03447844831027029,-0.03829369300399899,533.9400024414062
SPY,2025-04-22,0.026594844234989284,0.02956840198862771,-0.0049336603168961745,0.07340107425091125,0.04573283898251258,0.06381313220854118,0.05968823183504417,0.0371758803601929,0.06947271080010156,513.8800048828125
SPY,2025-04-29,0.03141132727296406,0.03171462376181227,0.005555884318021745,0.07504086261971774,0.04700257775415243,0.05772791142828476,0.042489710965067526,0.01842981623243544,0.022722601415924932,550.8499755859375
SPY,2025-05-06,0.03313956157335148,0.030909652237442187,-0.0011757550171245048,0.06253661166115425,0.04722728915247179,0.050400342577458304,0.026842769731057002,0.034568794295350064,0.03398491991250208,563.510009765625
SPY,2025-05-13,0.02219752889342693,0.023748043698915245,0.002043617163221835,0.03128505173515295,0.048115419215358425,0.047078382312647125,0.03317518563303606,0.010476662885876896,0.02013921508635849,582.989990234375
SPY,2025-05-20,0.02610804274137968,0.026795504226806217,-0.014839219790629419,0.022687796276225566,0.0479503901259506,0.040684620501583856,0.023247742085628468,0.02776055501655879,-0.0062393982717595916,594.8499755859375
SPY,2025-05-28,0.01647536422069818,0.02591488391227359,-0.006556263824357312,0.023873563530581433,0.04815040632164822,0.037819722842099036,0.025909002695700754,0.010692362879401037,0.008321873820710474,591.1500244140625
SPY,2025-06-04,0.02146220222503664,0.025731464353067463,-0.022986124362178863,0.02312311380396958,0.04741839010685575,0.03287882538285531,0.02018144006310339,0.012676626388210587,0.011658178819223498,596.0900268554688
SPY,2025-06-11,0.016248378528684874,0.023521872720574,-0.023247187913280516,0.01699876220625274,0.04622032866284101,0.02893380567399928,0.01786713450838509,0.01770909413208297,-0.00924534546811337,603.0800170898438
SPY,2025-06-18,0.016113500386861077,0.01930102094504778,-0.0006453194932901056,0.018906094257172074,0.04624560773544817,0.026491438053190864,0.019341790682417613,0.015677287642605654,0.015921916272864645,597.530029296875
